run_id,solver_hash,model,i_Dw,Dw,Omega,k,V,r,status,jump
20260906-130602,7cfda8cdc7345f93,B,4,2.5118864315e-02,1.4677992676e+01,3.156523197527e+01,4.650050627767e-01,2.060913e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,4,2.5118864315e-02,1.7782794100e+01,3.824229237868e+01,4.650033508531e-01,1.659981e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,4,2.5118864315e-02,2.1544346900e+01,4.633177496702e+01,4.650015440948e-01,1.340717e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,4,2.5118864315e-02,2.6101572157e+01,5.613245506478e+01,4.649996535285e-01,1.082774e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,4,2.5118864315e-02,3.1622776602e+01,6.800630767986e+01,4.649976991921e-01,8.719064e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,4,2.5118864315e-02,3.8311868496e+01,8.239187559215e+01,4.649957076499e-01,6.980945e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,4,2.5118864315e-02,4.6415888336e+01,9.982046406752e+01,4.649937141620e-01,5.542351e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,4,2.5118864315e-02,5.6234132519e+01,1.209357609088e+02,4.649917617125e-01,4.352225e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,4,2.5118864315e-02,6.8129206906e+01,1.465176062976e+02,4.649898986707e-01,3.372896e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,4,2.5118864315e-02,8.2540418527e+01,1.775107908195e+02,4.649881742159e-01,2.575251e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,4,2.5118864315e-02,1.0000000000e+02,2.150599460487e+02,4.649866320404e-01,1.935179e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,5,3.1622776602e-02,1.0000000000e-03,2.144537749396e-03,4.663009547309e-01,7.170513e-08,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,5,3.1622776602e-02,1.2115276586e-03,2.598167607281e-03,4.663008095527e-01,9.818026e-08,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,5,3.1622776602e-02,1.4677992676e-03,3.147753311231e-03,4.663006031588e-01,1.349587e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,5,3.1622776602e-02,1.7782794100e-03,3.813592624470e-03,4.663003066002e-01,1.862877e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,5,3.1622776602e-02,2.1544346900e-03,4.620277179908e-03,4.662998790205e-01,2.582553e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,5,3.1622776602e-02,2.6101572157e-03,5.597600995430e-03,4.662992624543e-01,3.596132e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,5,3.1622776602e-02,3.1622776602e-03,6.781661446281e-03,4.662983673275e-01,5.029664e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,5,3.1622776602e-02,3.8311868496e-03,8.216193312858e-03,4.662970677140e-01,7.064889e-07,resolved_min,0
