run_id,solver_hash,model,bc_phason,Omega,k,V,r,status,delta_pen
20260906-125819,7cfda8cdc7345f93,A,free,1.1220184543e-01,3.610947566107e-01,3.107268753591e-01,1.144132e-08,resolved_min,1.773075e+01
20260906-125819,7cfda8cdc7345f93,A,free,1.2589254118e-01,4.051549819912e-01,3.107268743450e-01,1.353612e-08,resolved_min,1.580254e+01
20260906-125819,7cfda8cdc7345f93,A,free,1.4125375446e-01,4.545913682174e-01,3.107268732712e-01,1.601335e-08,resolved_min,1.408403e+01
20260906-125819,7cfda8cdc7345f93,A,free,1.5848931925e-01,5.100599061726e-01,3.107268721343e-01,1.894205e-08,resolved_min,1.255240e+01
20260906-125819,7cfda8cdc7345f93,A,free,1.7782794100e-01,5.722966297422e-01,3.107268709305e-01,2.240348e-08,resolved_min,1.118734e+01
20260906-125819,7cfda8cdc7345f93,A,free,1.9952623150e-01,6.421273825394e-01,3.107268696560e-01,2.649319e-08,resolved_min,9.970725e+00
20260906-125819,7cfda8cdc7345f93,A,free,2.2387211386e-01,7.204787763506e-01,3.107268683067e-01,3.132339e-08,resolved_min,8.886417e+00
20260906-125819,7cfda8cdc7345f93,A,free,2.5118864315e-01,8.083904867151e-01,3.107268668780e-01,3.702565e-08,resolved_min,7.920026e+00
20260906-125819,7cfda8cdc7345f93,A,free,2.8183829313e-01,9.070290487918e-01,3.107268653654e-01,4.375382e-08,resolved_min,7.058729e+00
20260906-125819,7cfda8cdc7345f93,A,free,3.1622776602e-01,1.017703336577e+00,3.107268637640e-01,5.168686e-08,resolved_min,6.291098e+00
20260906-125819,7cfda8cdc7345f93,A,free,3.5481338923e-01,1.141881930874e+00,3.107268620687e-01,6.103002e-08,resolved_min,5.606945e+00
20260906-125819,7cfda8cdc7345f93,A,free,3.9810717055e-01,1.281212606474e+00,3.107268602743e-01,7.200607e-08,resolved_min,4.997194e+00
20260906-125819,7cfda8cdc7345f93,A,free,4.4668359215e-01,1.437544197123e+00,3.107268583777e-01,8.475334e-08,resolved_min,4.453753e+00
20260906-125819,7cfda8cdc7345f93,A,free,5.0118723363e-01,1.612951128901e+00,3.107268562865e-01,9.672391e-08,resolved_min,3.969410e+00
20260906-125819,7cfda8cdc7345f93,A,free,5.6234132519e-01,1.809760944406e+00,3.107268542448e-01,1.026960e-07,resolved_min,3.537740e+00
20260906-125819,7cfda8cdc7345f93,A,free,6.3095734448e-01,2.030585192239e+00,3.107268519892e-01,1.081157e-07,resolved_min,3.153013e+00
20260906-125819,7cfda8cdc7345f93,A,free,7.0794578438e-01,2.278354076213e+00,3.107268496040e-01,1.136549e-07,resolved_min,2.810125e+00
20260906-125819,7cfda8cdc7345f93,A,free,7.9432823472e-01,2.556355339711e+00,3.107268470799e-01,1.193773e-07,resolved_min,2.504526e+00
20260906-125819,7cfda8cdc7345f93,A,free,8.9125093813e-01,2.868277891567e+00,3.107268444086e-01,1.252969e-07,resolved_min,2.232160e+00
20260906-125819,7cfda8cdc7345f93,A,free,1.0000000000e+00,3.218260755681e+00,3.107268415820e-01,1.314163e-07,resolved_min,1.989414e+00
20260906-125819,7cfda8cdc7345f93,A,free,1.1220184543e+00,3.610947993382e+00,3.107268385915e-01,1.377331e-07,resolved_min,1.773066e+00
20260906-125819,7cfda8cdc7345f93,A,free,1.2589254118e+00,4.051550327343e+00,3.107268354284e-01,1.442409e-07,resolved_min,1.580246e+00
20260906-125819,7cfda8cdc7345f93,A,free,1.4125375446e+00,4.545914284748e+00,3.107268320835e-01,1.509304e-07,resolved_min,1.408395e+00
20260906-125819,7cfda8cdc7345f93,A,free,1.5848931925e+00,5.100599777206e+00,3.107268285475e-01,1.577886e-07,resolved_min,1.255233e+00
20260906-125819,7cfda8cdc7345f93,A,free,1.7782794100e+00,5.722967146857e+00,3.107268248107e-01,1.647989e-07,resolved_min,1.118727e+00
20260906-125819,7cfda8cdc7345f93,A,free,1.9952623150e+00,6.421274833745e+00,3.107268208617e-01,1.719407e-07,resolved_min,9.970661e-01
20260906-125819,7cfda8cdc7345f93,A,free,2.2387211386e+00,7.204788960282e+00,3.107268166923e-01,1.791884e-07,resolved_min,8.886356e-01
20260906-125819,7cfda8cdc7345f93,A,free,2.5118864315e+00,8.083906287229e+00,3.107268122934e-01,1.865113e-07,resolved_min,7.919969e-01
20260906-125819,7cfda8cdc7345f93,A,free,2.8183829313e+00,9.070292172501e+00,3.107268076556e-01,1.938732e-07,resolved_min,7.058675e-01
20260906-125819,7cfda8cdc7345f93,A,free,3.1622776602e+00,1.017703536348e+01,3.107268027696e-01,2.012310e-07,resolved_min,6.291047e-01
20260906-125819,7cfda8cdc7345f93,A,free,3.5481338923e+00,1.141882167689e+01,3.107267976273e-01,2.085349e-07,resolved_min,5.606898e-01
20260906-125819,7cfda8cdc7345f93,A,free,3.9810717055e+00,1.281212887076e+01,3.107267922211e-01,2.157270e-07,resolved_min,4.997149e-01
20260906-125819,7cfda8cdc7345f93,A,free,4.4668359215e+00,1.437544529450e+01,3.107267865448e-01,2.227415e-07,resolved_min,4.453711e-01
20260906-125819,7cfda8cdc7345f93,A,free,5.0118723363e+00,1.612951521807e+01,3.107267805952e-01,2.295036e-07,resolved_min,3.969371e-01
