run_id,solver_hash,model,bc_phason,bc_thermal,Omega,k,V,r,status,n_ad,n_grazing,condB,jump,root_flags,max_root_res,k_comp,r_comp,P_w,delta_pen,delta_pen_weighted,rel_xtol,n_scan
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.1220184543e-02,3.610947434275e-02,3.107268867034e-01,4.142294e-10,resolved_min,5,0,2.414121e+09,0,0,1.698e-17,3.610947435185e-02,4.145358e-10,9.909511e-01,1.773078e+02,1.177113e+02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.2589254118e-02,4.051549662781e-02,3.107268863958e-01,4.864344e-10,resolved_min,5,0,2.055776e+09,0,0,1.538e-17,4.051549663919e-02,4.867830e-10,9.909511e-01,1.580257e+02,1.049103e+02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.4125375446e-02,4.545913494929e-02,3.107268860700e-01,5.717665e-10,resolved_min,5,0,1.748966e+09,0,0,1.172e-16,4.545913496342e-02,5.721603e-10,9.909511e-01,1.408405e+02,9.350132e+01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.5848931925e-02,5.100598838640e-02,3.107268857246e-01,6.726518e-10,resolved_min,5,0,1.486653e+09,0,0,7.034e-17,5.100598840386e-02,6.730935e-10,9.909511e-01,1.255243e+02,8.333310e+01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.7782794100e-02,5.722966031688e-02,3.107268853585e-01,7.919649e-10,resolved_min,5,0,1.262682e+09,0,0,9.177e-18,5.722966033833e-02,7.924569e-10,9.909511e-01,1.118736e+02,7.427067e+01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.9952623150e-02,6.421273508815e-02,3.107268849754e-01,9.330968e-10,resolved_min,5,0,1.071700e+09,0,0,1.141e-17,6.421273511539e-02,9.336562e-10,9.909510e-01,9.970746e+01,6.619376e+01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,2.2387211386e-02,7.204787386289e-02,3.107268845752e-01,1.100082e-09,resolved_min,5,0,9.090231e+08,0,0,9.562e-18,7.204787389762e-02,1.100703e-09,9.909510e-01,8.886436e+01,5.899522e+01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,2.5118864315e-02,8.083904417789e-02,3.107268841504e-01,1.297721e-09,resolved_min,5,0,7.705815e+08,0,0,1.204e-17,8.083904422117e-02,1.298387e-09,9.909510e-01,7.920044e+01,5.257951e+01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,2.8183829313e-02,9.070289952739e-02,3.107268836994e-01,1.531676e-09,resolved_min,5,0,6.528795e+08,0,0,6.742e-18,9.070289958084e-02,1.532376e-09,9.909510e-01,7.058746e+01,4.686151e+01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,3.1622776602e-02,1.017703272853e-01,3.107268832203e-01,1.808650e-09,resolved_min,5,0,5.528985e+08,0,0,7.166e-18,1.017703273508e-01,1.809372e-09,9.909509e-01,6.291114e+01,4.176533e+01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,3.5481338923e-02,1.141881855015e-01,3.107268827114e-01,2.136579e-09,resolved_min,5,0,4.680380e+08,0,0,1.530e-17,1.141881855811e-01,2.137306e-09,9.909509e-01,5.606961e+01,3.722336e+01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,3.9810717055e-02,1.281212516182e-01,3.107268821725e-01,2.524851e-09,resolved_min,5,0,3.960629e+08,0,0,6.020e-18,1.281212517149e-01,2.525566e-09,9.909509e-01,4.997209e+01,3.317532e+01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,4.4668359215e-02,1.437544089707e-01,3.107268815957e-01,2.984579e-09,resolved_min,5,0,3.350556e+08,0,0,1.496e-17,1.437544089292e-01,2.984752e-09,9.909508e-01,4.453766e+01,2.956751e+01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,5.0118723363e-02,1.612951000390e-01,3.107268810436e-01,3.529041e-09,resolved_min,5,0,2.833631e+08,0,0,1.394e-17,1.612951000390e-01,3.529041e-09,9.909508e-01,3.969423e+01,2.635205e+01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,5.6234132519e-02,1.809760792280e-01,3.107268803641e-01,4.173445e-09,resolved_min,5,0,2.396102e+08,0,0,9.687e-18,1.809760792280e-01,4.173445e-09,9.909508e-01,3.537752e+01,2.348626e+01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,6.3095734448e-02,2.030585011512e-01,3.107268796445e-01,4.936333e-09,resolved_min,5,0,2.025795e+08,0,0,1.047e-17,2.030585011512e-01,4.936333e-09,9.909507e-01,3.153024e+01,2.093213e+01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,7.0794578438e-02,2.278353861533e-01,3.107268788826e-01,5.839415e-09,resolved_min,5,0,1.712500e+08,0,0,2.149e-17,2.278353861533e-01,5.839415e-09,9.909507e-01,2.810136e+01,1.865575e+01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,7.9432823472e-02,2.556355084708e-01,3.107268780758e-01,6.908339e-09,resolved_min,5,0,1.447526e+08,0,0,4.373e-17,2.556355084708e-01,6.908339e-09,9.909507e-01,2.504536e+01,1.662693e+01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,8.9125093813e-02,2.868277588676e-01,3.107268772215e-01,8.173392e-09,resolved_min,5,0,1.223482e+08,0,0,1.780e-17,2.868277588676e-01,8.173392e-09,9.909506e-01,2.232170e+01,1.481875e+01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.0000000000e-01,3.218260395925e-01,3.107268763169e-01,9.670325e-09,resolved_min,5,0,1.034091e+08,0,0,6.122e-17,3.218260395925e-01,9.670325e-09,9.909506e-01,1.989423e+01,1.320720e+01,1e-15,160
