Omega,Dw,model,V,Delta_BC_at_Dw
1.0000000000e-01,1.000000e+00,B,4.662969995304e-01,1.245665e-05
1.0000000000e-01,1.000000e+00,C,4.663028081023e-01,1.245665e-05
1.2115276586e-01,1.000000e+00,A,3.107268745853e-01,1.825915e-05
1.2115276586e-01,1.000000e+00,B,4.662955614082e-01,1.825915e-05
1.2115276586e-01,1.000000e+00,C,4.663040757257e-01,1.825915e-05
1.4677992676e-01,1.000000e+00,A,3.107268728725e-01,2.674957e-05
1.4677992676e-01,1.000000e+00,B,4.662935188914e-01,2.674957e-05
1.4677992676e-01,1.000000e+00,C,4.663059923750e-01,2.674957e-05
1.7782794100e-01,1.000000e+00,A,3.107268709065e-01,3.915524e-05
1.7782794100e-01,1.000000e+00,B,4.662906018263e-01,3.915524e-05
1.7782794100e-01,1.000000e+00,C,4.663088602597e-01,3.915524e-05
2.1544346900e-01,1.000000e+00,A,3.107268687441e-01,5.724500e-05
2.1544346900e-01,1.000000e+00,B,4.662864207564e-01,5.724500e-05
2.1544346900e-01,1.000000e+00,C,4.663131148523e-01,5.724500e-05
2.6101572157e-01,1.000000e+00,A,3.107268663658e-01,8.354623e-05
2.6101572157e-01,1.000000e+00,B,4.662804178573e-01,8.354623e-05
2.6101572157e-01,1.000000e+00,C,4.663193770811e-01,8.354623e-05
3.1622776602e-01,1.000000e+00,A,3.107268637498e-01,1.216250e-04
3.1622776602e-01,1.000000e+00,B,4.662718020409e-01,1.216250e-04
3.1622776602e-01,1.000000e+00,C,4.663285192536e-01,1.216250e-04
3.8311868496e-01,1.000000e+00,A,3.107268608727e-01,1.764204e-04
3.8311868496e-01,1.000000e+00,B,4.662594680763e-01,1.764204e-04
3.8311868496e-01,1.000000e+00,C,4.663417402575e-01,1.764204e-04
4.6415888336e-01,1.000000e+00,A,3.107268577142e-01,2.545856e-04
4.6415888336e-01,1.000000e+00,B,4.662419059235e-01,2.545856e-04
4.6415888336e-01,1.000000e+00,C,4.663606346355e-01,2.545856e-04
5.6234132519e-01,1.000000e+00,A,3.107268542590e-01,3.647142e-04
5.6234132519e-01,1.000000e+00,B,4.662171212653e-01,3.647142e-04
5.6234132519e-01,1.000000e+00,C,4.663872193105e-01,3.647142e-04
6.8129206906e-01,1.000000e+00,A,3.107268504251e-01,5.172038e-04
6.8129206906e-01,1.000000e+00,B,4.661826134839e-01,5.172038e-04
6.8129206906e-01,1.000000e+00,C,4.664238496793e-01,5.172038e-04
8.2540418527e-01,1.000000e+00,A,3.107268462105e-01,7.233642e-04
8.2540418527e-01,1.000000e+00,B,4.661354791014e-01,7.233642e-04
8.2540418527e-01,1.000000e+00,C,4.664729089126e-01,7.233642e-04
1.0000000000e+00,1.000000e+00,A,3.107268415809e-01,9.935595e-04
1.0000000000e+00,1.000000e+00,B,4.660718911173e-01,9.935595e-04
