Omega,Dw,model,V,Delta_BC_at_Dw
1.0000000000e+02,1.000000e+02,B,4.660388763122e-01,9.939861e-04
1.0000000000e+02,1.000000e+02,C,4.665025733885e-01,9.939861e-04
1.0000000000e-03,1.000000e+04,A,3.107268903703e-01,9.723328e-10
1.0000000000e-03,1.000000e+04,B,4.663012293582e-01,9.723328e-10
1.0000000000e-03,1.000000e+04,C,4.663012298116e-01,9.723328e-10
1.2115276586e-03,1.000000e+04,A,3.107268905541e-01,2.228173e-10
1.2115276586e-03,1.000000e+04,B,4.663012126325e-01,2.228173e-10
1.2115276586e-03,1.000000e+04,C,4.663012127364e-01,2.228173e-10
1.4677992676e-03,1.000000e+04,A,3.107268903765e-01,7.364338e-10
1.4677992676e-03,1.000000e+04,B,4.663011948714e-01,7.364338e-10
1.4677992676e-03,1.000000e+04,C,4.663011945280e-01,7.364338e-10
1.7782794100e-03,1.000000e+04,A,3.107268901810e-01,7.934789e-11
1.7782794100e-03,1.000000e+04,B,4.663011745732e-01,7.934789e-11
1.7782794100e-03,1.000000e+04,C,4.663011746102e-01,7.934789e-11
2.1544346900e-03,1.000000e+04,A,3.107268899658e-01,4.111077e-10
2.1544346900e-03,1.000000e+04,B,4.663011522198e-01,4.111077e-10
2.1544346900e-03,1.000000e+04,C,4.663011520281e-01,4.111077e-10
2.6101572157e-03,1.000000e+04,A,3.107268897290e-01,6.519392e-10
2.6101572157e-03,1.000000e+04,B,4.663011274160e-01,6.519392e-10
2.6101572157e-03,1.000000e+04,C,4.663011277200e-01,6.519392e-10
3.1622776602e-03,1.000000e+04,A,3.107268894685e-01,4.342902e-09
3.1622776602e-03,1.000000e+04,B,4.663011006938e-01,4.342902e-09
3.1622776602e-03,1.000000e+04,C,4.663011027189e-01,4.342902e-09
3.8311868496e-03,1.000000e+04,A,3.107268891818e-01,1.323179e-10
3.8311868496e-03,1.000000e+04,B,4.663010708783e-01,1.323179e-10
3.8311868496e-03,1.000000e+04,C,4.663010708166e-01,1.323179e-10
4.6415888336e-03,1.000000e+04,A,3.107268888662e-01,8.020564e-11
4.6415888336e-03,1.000000e+04,B,4.663010381530e-01,8.020564e-11
4.6415888336e-03,1.000000e+04,C,4.663010381904e-01,8.020564e-11
5.6234132519e-03,1.000000e+04,A,3.107268885190e-01,1.985841e-10
5.6234132519e-03,1.000000e+04,B,4.663010019918e-01,1.985841e-10
5.6234132519e-03,1.000000e+04,C,4.663010020844e-01,1.985841e-10
6.8129206906e-03,1.000000e+04,A,3.107268881353e-01,1.206731e-09
6.8129206906e-03,1.000000e+04,B,4.663009618148e-01,1.206731e-09
6.8129206906e-03,1.000000e+04,C,4.663009623775e-01,1.206731e-09
8.2540418527e-03,1.000000e+04,A,3.107268877124e-01,6.766017e-10
8.2540418527e-03,1.000000e+04,B,4.663009182672e-01,6.766017e-10
8.2540418527e-03,1.000000e+04,C,4.663009185827e-01,6.766017e-10
1.0000000000e-02,1.000000e+04,A,3.107268872469e-01,6.440048e-10
1.0000000000e-02,1.000000e+04,B,4.663008702509e-01,6.440048e-10
1.0000000000e-02,1.000000e+04,C,4.663008705512e-01,6.440048e-10
1.2115276586e-02,1.000000e+04,A,3.107268867345e-01,1.930078e-11
1.2115276586e-02,1.000000e+04,B,4.663008176407e-01,1.930078e-11
1.2115276586e-02,1.000000e+04,C,4.663008176497e-01,1.930078e-11
1.4677992676e-02,1.000000e+04,A,3.107268861706e-01,4.539988e-10
1.4677992676e-02,1.000000e+04,B,4.663007591580e-01,4.539988e-10
1.4677992676e-02,1.000000e+04,C,4.663007593697e-01,4.539988e-10
1.7782794100e-02,1.000000e+04,A,3.107268855498e-01,3.898772e-10
1.7782794100e-02,1.000000e+04,B,4.663006952950e-01,3.898772e-10
1.7782794100e-02,1.000000e+04,C,4.663006951132e-01,3.898772e-10
2.1544346900e-02,1.000000e+04,A,3.107268848666e-01,1.138750e-10
2.1544346900e-02,1.000000e+04,B,4.663006243970e-01,1.138750e-10
2.1544346900e-02,1.000000e+04,C,4.663006243439e-01,1.138750e-10
2.6101572157e-02,1.000000e+04,A,3.107268841145e-01,3.287580e-10
2.6101572157e-02,1.000000e+04,B,4.663005472366e-01,3.287580e-10
2.6101572157e-02,1.000000e+04,C,4.663005470833e-01,3.287580e-10
3.1622776602e-02,1.000000e+04,A,3.107268832868e-01,4.503530e-11
3.1622776602e-02,1.000000e+04,B,4.663004615354e-01,4.503530e-11
3.1622776602e-02,1.000000e+04,C,4.663004615144e-01,4.503530e-11
3.8311868496e-02,1.000000e+04,A,3.107268823758e-01,4.289105e-12
3.8311868496e-02,1.000000e+04,B,4.663003671728e-01,4.289105e-12
3.8311868496e-02,1.000000e+04,C,4.663003671748e-01,4.289105e-12
4.6415888336e-02,1.000000e+04,A,3.107268813731e-01,2.421186e-10
4.6415888336e-02,1.000000e+04,B,4.663002638350e-01,2.421186e-10
4.6415888336e-02,1.000000e+04,C,4.663002639479e-01,2.421186e-10
5.6234132519e-02,1.000000e+04,A,3.107268802695e-01,1.007938e-11
5.6234132519e-02,1.000000e+04,B,4.663001495700e-01,1.007938e-11
5.6234132519e-02,1.000000e+04,C,4.663001495747e-01,1.007938e-11
6.8129206906e-02,1.000000e+04,A,3.107268790549e-01,1.243840e-11
6.8129206906e-02,1.000000e+04,B,4.663000243646e-01,1.243840e-11
6.8129206906e-02,1.000000e+04,C,4.663000243704e-01,1.243840e-11
8.2540418527e-02,1.000000e+04,A,3.107268777181e-01,4.949604e-10
8.2540418527e-02,1.000000e+04,B,4.662998862862e-01,4.949604e-10
8.2540418527e-02,1.000000e+04,C,4.662998860554e-01,4.949604e-10
1.0000000000e-01,1.000000e+04,A,3.107268762035e-01,3.431265e-11
1.0000000000e-01,1.000000e+04,B,4.662997343118e-01,3.431265e-11
1.0000000000e-01,1.000000e+04,C,4.662997343278e-01,3.431265e-11
1.2115276586e-01,1.000000e+04,A,3.107268745853e-01,3.860189e-12
1.2115276586e-01,1.000000e+04,B,4.662995670781e-01,3.860189e-12
1.2115276586e-01,1.000000e+04,C,4.662995670799e-01,3.860189e-12
1.4677992676e-01,1.000000e+04,A,3.107268728725e-01,1.672741e-11
1.4677992676e-01,1.000000e+04,B,4.662993830449e-01,1.672741e-11
1.4677992676e-01,1.000000e+04,C,4.662993830371e-01,1.672741e-11
1.7782794100e-01,1.000000e+04,A,3.107268709065e-01,1.223678e-09
1.7782794100e-01,1.000000e+04,B,4.662991799546e-01,1.223678e-09
1.7782794100e-01,1.000000e+04,C,4.662991805252e-01,1.223678e-09
2.1544346900e-01,1.000000e+04,A,3.107268687441e-01,9.435964e-12
2.1544346900e-01,1.000000e+04,B,4.662989576712e-01,9.435964e-12
2.1544346900e-01,1.000000e+04,C,4.662989576756e-01,9.435964e-12
2.6101572157e-01,1.000000e+04,A,3.107268663658e-01,1.134251e-09
2.6101572157e-01,1.000000e+04,B,4.662987124824e-01,1.134251e-09
2.6101572157e-01,1.000000e+04,C,4.662987130113e-01,1.134251e-09
3.1622776602e-01,1.000000e+04,A,3.107268637498e-01,5.790298e-12
3.1622776602e-01,1.000000e+04,B,4.662984427338e-01,5.790298e-12
3.1622776602e-01,1.000000e+04,C,4.662984427365e-01,5.790298e-12
3.8311868496e-01,1.000000e+04,A,3.107268608727e-01,8.127839e-11
3.8311868496e-01,1.000000e+04,B,4.662981459797e-01,8.127839e-11
3.8311868496e-01,1.000000e+04,C,4.662981459418e-01,8.127839e-11
4.6415888336e-01,1.000000e+04,A,3.107268577142e-01,3.645801e-12
4.6415888336e-01,1.000000e+04,B,4.662978195726e-01,3.645801e-12
4.6415888336e-01,1.000000e+04,C,4.662978195709e-01,3.645801e-12
5.6234132519e-01,1.000000e+04,A,3.107268542590e-01,2.145221e-13
5.6234132519e-01,1.000000e+04,B,4.662974605909e-01,2.145221e-13
5.6234132519e-01,1.000000e+04,C,4.662974605910e-01,2.145221e-13
6.8129206906e-01,1.000000e+04,A,3.107268504251e-01,4.636529e-10
6.8129206906e-01,1.000000e+04,B,4.662970658647e-01,4.636529e-10
6.8129206906e-01,1.000000e+04,C,4.662970656485e-01,4.636529e-10
8.2540418527e-01,1.000000e+04,A,3.107268462105e-01,3.324065e-10
8.2540418527e-01,1.000000e+04,B,4.662966317812e-01,3.324065e-10
8.2540418527e-01,1.000000e+04,C,4.662966319362e-01,3.324065e-10
1.0000000000e+00,1.000000e+04,A,3.107268415809e-01,1.175219e-10
1.0000000000e+00,1.000000e+04,B,4.662961549792e-01,1.175219e-10
1.0000000000e+00,1.000000e+04,C,4.662961550340e-01,1.175219e-10
1.2115276586e+00,1.000000e+04,A,3.107268364974e-01,2.766476e-11
1.2115276586e+00,1.000000e+04,B,4.662956310656e-01,2.766476e-11
1.2115276586e+00,1.000000e+04,C,4.662956310785e-01,2.766476e-11
1.4677992676e+00,1.000000e+04,A,3.107268309186e-01,2.509135e-11
1.4677992676e+00,1.000000e+04,B,4.662950556539e-01,2.509135e-11
1.4677992676e+00,1.000000e+04,C,4.662950556656e-01,2.509135e-11
1.7782794100e+00,1.000000e+04,A,3.107268248008e-01,3.131066e-11
1.7782794100e+00,1.000000e+04,B,4.662944240535e-01,3.131066e-11
1.7782794100e+00,1.000000e+04,C,4.662944240681e-01,3.131066e-11
2.1544346900e+00,1.000000e+04,A,3.107268180991e-01,2.367607e-10
2.1544346900e+00,1.000000e+04,B,4.662937311143e-01,2.367607e-10
2.1544346900e+00,1.000000e+04,C,4.662937312247e-01,2.367607e-10
2.6101572157e+00,1.000000e+04,A,3.107268107685e-01,9.736372e-11
2.6101572157e+00,1.000000e+04,B,4.662929717239e-01,9.736372e-11
2.6101572157e+00,1.000000e+04,C,4.662929717693e-01,9.736372e-11
3.1622776602e+00,1.000000e+04,A,3.107268027651e-01,1.248145e-10
3.1622776602e+00,1.000000e+04,B,4.662921400097e-01,1.248145e-10
3.1622776602e+00,1.000000e+04,C,4.662921400679e-01,1.248145e-10
3.8311868496e+00,1.000000e+04,A,3.107267940494e-01,4.046827e-10
3.8311868496e+00,1.000000e+04,B,4.662912301193e-01,4.046827e-10
3.8311868496e+00,1.000000e+04,C,4.662912303080e-01,4.046827e-10
4.6415888336e+00,1.000000e+04,A,3.107267845957e-01,2.691457e-10
4.6415888336e+00,1.000000e+04,B,4.662902364383e-01,2.691457e-10
4.6415888336e+00,1.000000e+04,C,4.662902365638e-01,2.691457e-10
5.6234132519e+00,1.000000e+04,A,3.107267743725e-01,3.873134e-10
5.6234132519e+00,1.000000e+04,B,4.662891527782e-01,3.873134e-10
5.6234132519e+00,1.000000e+04,C,4.662891529588e-01,3.873134e-10
6.8129206906e+00,1.000000e+04,A,3.107267633885e-01,5.901932e-10
6.8129206906e+00,1.000000e+04,B,4.662879736428e-01,5.901932e-10
6.8129206906e+00,1.000000e+04,C,4.662879739180e-01,5.901932e-10
8.2540418527e+00,1.000000e+04,A,3.107267516748e-01,8.434725e-10
8.2540418527e+00,1.000000e+04,B,4.662866940186e-01,8.434725e-10
8.2540418527e+00,1.000000e+04,C,4.662866944119e-01,8.434725e-10
1.0000000000e+01,1.000000e+04,A,3.107267393024e-01,1.249879e-09
1.0000000000e+01,1.000000e+04,B,4.662853098585e-01,1.249879e-09
1.0000000000e+01,1.000000e+04,C,4.662853104413e-01,1.249879e-09
1.2115276586e+01,1.000000e+04,A,3.107267263951e-01,1.834934e-09
1.2115276586e+01,1.000000e+04,B,4.662838186624e-01,1.834934e-09
1.2115276586e+01,1.000000e+04,C,4.662838195180e-01,1.834934e-09
1.4677992676e+01,1.000000e+04,A,3.107267131400e-01,2.692790e-09
1.4677992676e+01,1.000000e+04,B,4.662822201637e-01,2.692790e-09
1.4677992676e+01,1.000000e+04,C,4.662822214193e-01,2.692790e-09
1.7782794100e+01,1.000000e+04,A,3.107266997943e-01,3.960706e-09
1.7782794100e+01,1.000000e+04,B,4.662805172342e-01,3.960706e-09
1.7782794100e+01,1.000000e+04,C,4.662805190810e-01,3.960706e-09
2.1544346900e+01,1.000000e+04,A,3.107266866806e-01,5.810044e-09
2.1544346900e+01,1.000000e+04,B,4.662787169233e-01,5.810044e-09
2.1544346900e+01,1.000000e+04,C,4.662787196324e-01,5.810044e-09
2.6101572157e+01,1.000000e+04,A,3.107266741670e-01,8.515756e-09
2.6101572157e+01,1.000000e+04,B,4.662768316835e-01,8.515756e-09
2.6101572157e+01,1.000000e+04,C,4.662768356542e-01,8.515756e-09
3.1622776602e+01,1.000000e+04,A,3.107266626260e-01,1.250786e-08
3.1622776602e+01,1.000000e+04,B,4.662748805841e-01,1.250786e-08
3.1622776602e+01,1.000000e+04,C,4.662748864162e-01,1.250786e-08
3.8311868496e+01,1.000000e+04,A,3.107266523794e-01,1.833840e-08
3.8311868496e+01,1.000000e+04,B,4.662728904043e-01,1.833840e-08
3.8311868496e+01,1.000000e+04,C,4.662728989550e-01,1.833840e-08
4.6415888336e+01,1.000000e+04,A,3.107266436432e-01,2.692919e-08
4.6415888336e+01,1.000000e+04,B,4.662708960683e-01,2.692919e-08
4.6415888336e+01,1.000000e+04,C,4.662709086246e-01,2.692919e-08
5.6234132519e+01,1.000000e+04,A,3.107266364856e-01,3.953534e-08
5.6234132519e+01,1.000000e+04,B,4.662689400997e-01,3.953534e-08
5.6234132519e+01,1.000000e+04,C,4.662689585338e-01,3.953534e-08
6.8129206906e+01,1.000000e+04,A,3.107266308454e-01,5.800945e-08
6.8129206906e+01,1.000000e+04,B,4.662670702757e-01,5.800945e-08
6.8129206906e+01,1.000000e+04,C,4.662670973236e-01,5.800945e-08
8.2540418527e+01,1.000000e+04,A,3.107266265475e-01,8.514979e-08
8.2540418527e+01,1.000000e+04,B,4.662653351835e-01,8.514979e-08
8.2540418527e+01,1.000000e+04,C,4.662653748859e-01,8.514979e-08
1.0000000000e+02,1.000000e+04,A,3.107266233642e-01,1.249947e-07
1.0000000000e+02,1.000000e+04,B,4.662637778613e-01,1.249947e-07
1.0000000000e+02,1.000000e+04,C,4.662638361418e-01,1.249947e-07
