run_id,solver_hash,model,Omega,root_index,Re_p,Im_p,admissible,grazing,root_residual
20260906-124736,7cfda8cdc7345f93,B,1.000000e+01,4,4.253201618397e+01,4.518508237755e+01,1,0,1.324e-20
20260906-124736,7cfda8cdc7345f93,B,1.000000e+01,5,-4.253201618397e+01,-4.518508237755e+01,0,0,NaN
20260906-124736,7cfda8cdc7345f93,B,1.000000e+01,6,1.784295621389e-04,1.732714770284e+01,1,0,2.135e-17
20260906-124736,7cfda8cdc7345f93,B,1.000000e+01,7,-1.784295621389e-04,-1.732714770284e+01,0,0,NaN
20260906-124736,7cfda8cdc7345f93,B,1.000000e+01,8,2.088456192430e-02,2.087736944050e-02,1,0,2.826e-19
20260906-124736,7cfda8cdc7345f93,B,1.000000e+01,9,-2.088456192371e-02,-2.087736944109e-02,0,0,NaN
20260906-124736,7cfda8cdc7345f93,B,1.000000e+03,0,7.466221814399e+03,7.727828993409e+03,1,0,1.550e-17
20260906-124736,7cfda8cdc7345f93,B,1.000000e+03,1,-7.466221814399e+03,-7.727828993409e+03,0,0,NaN
20260906-124736,7cfda8cdc7345f93,B,1.000000e+03,2,4.610571271123e+03,5.024662318953e+03,1,0,5.996e-17
20260906-124736,7cfda8cdc7345f93,B,1.000000e+03,3,-4.610571271123e+03,-5.024662318953e+03,0,0,NaN
20260906-124736,7cfda8cdc7345f93,B,1.000000e+03,4,4.798910412477e-01,1.733454095320e+03,1,0,6.196e-18
20260906-124736,7cfda8cdc7345f93,B,1.000000e+03,5,1.251537349439e+02,1.529800289683e+03,1,0,5.978e-20
20260906-124736,7cfda8cdc7345f93,B,1.000000e+03,6,-4.798910412477e-01,-1.733454095320e+03,0,0,NaN
20260906-124736,7cfda8cdc7345f93,B,1.000000e+03,7,-1.251537349439e+02,-1.529800289683e+03,0,0,NaN
20260906-124736,7cfda8cdc7345f93,B,1.000000e+03,8,-2.123112716752e+01,-2.051239810529e+01,0,0,NaN
20260906-124736,7cfda8cdc7345f93,B,1.000000e+03,9,2.123112716752e+01,2.051239810529e+01,1,0,8.825e-18
20260906-124736,7cfda8cdc7345f93,C,1.000000e-01,0,7.595947953559e+01,7.595907879125e+01,1,0,2.347e-17
20260906-124736,7cfda8cdc7345f93,C,1.000000e-01,1,-7.595947953559e+01,-7.595907879125e+01,0,0,NaN
20260906-124736,7cfda8cdc7345f93,C,1.000000e-01,2,4.813177410771e+01,4.813176885704e+01,1,0,3.972e-17
20260906-124736,7cfda8cdc7345f93,C,1.000000e-01,3,-4.813177410771e+01,-4.813176885704e+01,0,0,NaN
20260906-124736,7cfda8cdc7345f93,C,1.000000e-01,4,4.382524832958e+00,4.385179112510e+00,1,0,1.104e-20
20260906-124736,7cfda8cdc7345f93,C,1.000000e-01,5,-4.382524832958e+00,-4.385179112510e+00,0,0,NaN
20260906-124736,7cfda8cdc7345f93,C,1.000000e-01,6,-1.784824564219e-08,-1.732714467780e-01,0,0,NaN
20260906-124736,7cfda8cdc7345f93,C,1.000000e-01,7,1.784824564220e-08,1.732714467780e-01,1,0,1.946e-17
20260906-124736,7cfda8cdc7345f93,C,1.000000e-01,8,2.088091149815e-05,2.088102170580e-05,1,0,1.559e-21
20260906-124736,7cfda8cdc7345f93,C,1.000000e-01,9,-2.088091147940e-05,-2.088102172568e-05,0,0,NaN
20260906-124736,7cfda8cdc7345f93,C,1.000000e+01,0,7.597931899383e+02,7.593924456068e+02,1,0,2.055e-17
