# V3 model-limit raw data: V*(Omega) per configuration (production route, continuation, bc free/isothermal)
Omega,V_A,r_A,status_A,V_B,r_B,status_B,V_C,r_C,status_C,V_C_Dw0,r_C_Dw0,status_C_Dw0,V_C_Dw14,r_C_Dw14,status_C_Dw14,V_C_rhow0,r_C_rhow0,status_C_rhow0
1.5848931925e+01,3.107267077959e-01,2.609044e-07,resolved_min,4.662815514384e-01,1.921508e-06,resolved_min,4.662815525553e-01,1.921509e-06,resolved_min,3.107267076581e-01,3.666127e-06,resolved_min,3.107267077859e-01,2.609079e-07,resolved_min,4.662815514385e-01,1.921508e-06,resolved_min
1.7782794100e+01,3.107266997943e-01,2.579230e-07,resolved_min,4.662805174897e-01,2.088987e-06,resolved_min,4.662805188917e-01,2.088989e-06,resolved_min,3.107266996835e-01,3.292834e-06,resolved_min,3.107266997962e-01,2.579260e-07,resolved_min,4.662805174857e-01,2.088987e-06,resolved_min
1.9952623150e+01,3.107266918753e-01,2.534632e-07,resolved_min,4.662794483882e-01,2.266255e-06,resolved_min,4.662794501484e-01,2.266257e-06,resolved_min,3.107266917863e-01,2.958336e-06,resolved_min,3.107266918772e-01,2.534659e-07,resolved_min,4.662794483843e-01,2.266255e-06,resolved_min
2.2387211386e+01,3.107266841177e-01,2.475128e-07,resolved_min,4.662783465490e-01,2.453066e-06,resolved_min,4.662783487701e-01,2.453069e-06,resolved_min,3.107266840463e-01,2.658240e-06,resolved_min,3.107266841195e-01,2.475152e-07,resolved_min,4.662783465592e-01,2.453066e-06,resolved_min
2.5118864315e+01,3.107266766038e-01,2.401043e-07,resolved_min,4.662772151932e-01,2.649033e-06,resolved_min,4.662772178715e-01,2.649037e-06,resolved_min,3.107266765463e-01,2.388676e-06,resolved_min,3.107266766051e-01,2.401064e-07,resolved_min,4.662772152068e-01,2.649033e-06,resolved_min
2.8183829313e+01,3.107266694151e-01,2.313202e-07,resolved_min,4.662760584281e-01,2.853633e-06,resolved_min,4.662760619442e-01,2.853638e-06,resolved_min,3.107266693684e-01,2.146248e-06,resolved_min,3.107266694123e-01,2.313221e-07,resolved_min,4.662760583647e-01,2.853633e-06,resolved_min
3.1622776602e+01,3.107266626279e-01,2.212941e-07,resolved_min,4.662748813279e-01,3.066226e-06,resolved_min,4.662748857599e-01,3.066233e-06,resolved_min,3.107266625896e-01,1.927990e-06,resolved_min,3.107266626244e-01,2.212958e-07,resolved_min,4.662748813359e-01,3.066226e-06,resolved_min
3.5481338923e+01,3.107266563092e-01,2.102075e-07,resolved_min,4.662736900371e-01,3.286098e-06,resolved_min,4.662736956207e-01,3.286107e-06,resolved_min,3.107266562770e-01,1.731320e-06,resolved_min,3.107266563047e-01,2.102090e-07,resolved_min,4.662736900371e-01,3.286098e-06,resolved_min
3.9810717055e+01,3.107266505061e-01,1.982810e-07,resolved_min,4.662724917636e-01,3.512524e-06,resolved_min,4.662724987880e-01,3.512536e-06,resolved_min,3.107266504834e-01,1.553996e-06,resolved_min,3.107266505055e-01,1.982823e-07,resolved_min,4.662724917597e-01,3.512524e-06,resolved_min
4.4668359215e+01,3.107266452618e-01,1.857619e-07,resolved_min,4.662712948860e-01,3.744873e-06,resolved_min,4.662713036078e-01,3.744889e-06,resolved_min,3.107266452441e-01,1.394071e-06,resolved_min,3.107266452620e-01,1.857631e-07,resolved_min,4.662712947609e-01,3.744873e-06,resolved_min
5.0118723363e+01,3.107266405895e-01,1.729084e-07,resolved_min,4.662701082765e-01,3.982747e-06,resolved_min,4.662701194132e-01,3.982768e-06,resolved_min,3.107266405750e-01,1.249847e-06,resolved_min,3.107266405900e-01,1.729095e-07,resolved_min,4.662701082867e-01,3.982747e-06,resolved_min
5.6234132519e+01,3.107266364856e-01,1.599729e-07,resolved_min,4.662689423398e-01,4.226167e-06,resolved_min,4.662689563589e-01,4.226196e-06,resolved_min,3.107266364731e-01,1.119833e-06,resolved_min,3.107266364865e-01,1.599739e-07,resolved_min,4.662689423398e-01,4.226167e-06,resolved_min
6.3095734448e+01,3.107266329289e-01,1.471872e-07,resolved_min,4.662678075057e-01,4.475805e-06,resolved_min,4.662678251497e-01,4.475843e-06,resolved_min,3.107266329178e-01,1.002707e-06,resolved_min,3.107266329305e-01,1.471881e-07,resolved_min,4.662678075099e-01,4.475805e-06,resolved_min
7.0794578438e+01,3.107266298852e-01,1.347510e-07,resolved_min,4.662667144702e-01,4.733257e-06,resolved_min,4.662667366828e-01,4.733308e-06,resolved_min,3.107266298742e-01,8.972856e-07,resolved_min,3.107266298877e-01,1.347518e-07,resolved_min,4.662667144745e-01,4.733257e-06,resolved_min
7.9432823472e+01,3.107266273103e-01,1.228253e-07,resolved_min,4.662656735956e-01,5.001345e-06,resolved_min,4.662657015591e-01,5.001413e-06,resolved_min,3.107266272990e-01,8.024959e-07,resolved_min,3.107266273136e-01,1.228259e-07,resolved_min,4.662656735956e-01,5.001345e-06,resolved_min
8.9125093813e+01,3.107266251539e-01,1.115297e-07,resolved_min,4.662646942658e-01,5.284434e-06,resolved_min,4.662647295425e-01,5.284523e-06,resolved_min,3.107266251419e-01,7.173589e-07,resolved_min,3.107266251452e-01,1.115303e-07,resolved_min,4.662646943383e-01,5.284434e-06,resolved_min
1.0000000000e+02,3.107266233642e-01,1.009447e-07,resolved_min,4.662637847233e-01,5.588724e-06,resolved_min,4.662638290467e-01,5.588841e-06,resolved_min,3.107266233510e-01,6.409761e-07,resolved_min,3.107266233653e-01,1.009452e-07,resolved_min,4.662637847232e-01,5.588724e-06,resolved_min
1.1220184543e+02,3.107266218901e-01,9.111553e-08,resolved_min,4.662629507844e-01,5.922505e-06,resolved_min,4.662630065739e-01,5.922659e-06,resolved_min,3.107266218753e-01,5.725215e-07,resolved_min,3.107266219040e-01,9.111603e-08,resolved_min,4.662629507800e-01,5.922505e-06,resolved_min
1.2589254118e+02,3.107266206838e-01,8.205846e-08,resolved_min,4.662621961658e-01,6.296332e-06,resolved_min,4.662622664055e-01,6.296535e-06,resolved_min,3.107266206718e-01,5.112352e-07,resolved_min,3.107266207112e-01,8.205896e-08,resolved_min,4.662621961658e-01,6.296332e-06,resolved_min
1.4125375446e+02,3.107266197019e-01,7.376689e-08,resolved_min,4.662615219502e-01,6.723097e-06,resolved_min,4.662616103754e-01,6.723365e-06,resolved_min,3.107266196892e-01,4.564204e-07,resolved_min,3.107266196381e-01,7.376744e-08,resolved_min,4.662615219549e-01,6.723097e-06,resolved_min
1.5848931925e+02,3.107266188937e-01,6.621755e-08,resolved_min,4.662609266225e-01,7.217979e-06,resolved_min,4.662610379412e-01,7.218335e-06,resolved_min,3.107266188926e-01,4.074401e-07,resolved_min,3.107266188873e-01,6.621789e-08,resolved_min,4.662609266274e-01,7.217979e-06,resolved_min
1.7782794100e+02,3.107266182629e-01,5.937578e-08,resolved_min,4.662604063187e-01,7.798236e-06,resolved_min,4.662605464524e-01,7.798713e-06,resolved_min,3.107266182520e-01,3.637145e-07,resolved_min,3.107266182831e-01,5.937615e-08,resolved_min,4.662604063135e-01,7.798236e-06,resolved_min
1.9952623150e+02,3.107266177455e-01,5.319986e-08,resolved_min,4.662599551866e-01,8.482800e-06,resolved_min,4.662601316063e-01,8.483441e-06,resolved_min,3.107266177310e-01,3.247182e-07,resolved_min,3.107266177050e-01,5.320020e-08,resolved_min,4.662599551811e-01,8.482800e-06,resolved_min
2.2387211386e+02,3.107266173342e-01,4.764452e-08,resolved_min,4.662595658849e-01,9.291578e-06,resolved_min,4.662597879827e-01,9.292444e-06,resolved_min,3.107266173107e-01,2.899775e-07,resolved_min,3.107266173146e-01,4.764474e-08,resolved_min,4.662595658847e-01,9.291578e-06,resolved_min
2.5118864315e+02,3.107266170059e-01,4.266338e-08,resolved_min,4.662592300648e-01,1.024435e-05,resolved_min,4.662595096576e-01,1.024553e-05,resolved_min,3.107266169742e-01,2.590667e-07,resolved_min,3.107266169805e-01,4.266356e-08,resolved_min,4.662592300712e-01,1.024435e-05,resolved_min
2.8183829313e+02,3.107266167448e-01,3.821073e-08,resolved_min,4.662589387621e-01,1.135908e-05,resolved_min,4.662592907165e-01,1.136070e-05,resolved_min,3.107266167020e-01,2.316047e-07,resolved_min,3.107266167125e-01,3.821087e-08,resolved_min,4.662589387620e-01,1.135908e-05,resolved_min
3.1622776602e+02,3.107266165378e-01,3.424256e-08,resolved_min,4.662586826785e-01,1.264966e-05,resolved_min,4.662591257546e-01,1.265188e-05,resolved_min,3.107266165209e-01,2.072499e-07,resolved_min,3.107266164962e-01,3.424265e-08,resolved_min,4.662586826786e-01,1.264966e-05,resolved_min
3.5481338923e+02,3.107266163739e-01,3.071695e-08,resolved_min,4.662584524097e-01,1.412293e-05,resolved_min,4.662590101690e-01,1.412599e-05,resolved_min,3.107266163455e-01,1.856952e-07,resolved_min,3.107266163142e-01,3.071704e-08,resolved_min,4.662584524097e-01,1.412293e-05,resolved_min
3.9810717055e+02,3.107266162437e-01,2.759404e-08,resolved_min,4.662582383969e-01,1.577586e-05,resolved_min,4.662589405025e-01,1.578009e-05,resolved_min,3.107266161983e-01,1.666612e-07,resolved_min,3.107266161524e-01,2.759443e-08,resolved_min,4.662582383968e-01,1.577586e-05,resolved_min
4.4668359215e+02,3.107266161361e-01,2.483545e-08,resolved_min,4.662580308737e-01,1.759352e-05,resolved_min,4.662589146799e-01,1.759934e-05,resolved_min,3.107266160610e-01,1.498893e-07,resolved_min,3.107266161745e-01,2.483645e-08,resolved_min,4.662580308859e-01,1.759352e-05,resolved_min
5.0118723363e+02,3.107266160679e-01,2.240421e-08,resolved_min,4.662578196873e-01,1.954930e-05,resolved_min,4.662589321909e-01,1.955730e-05,resolved_min,3.107266160103e-01,1.351342e-07,resolved_min,3.107266157608e-01,2.241811e-08,resolved_min,4.662578196734e-01,1.954930e-05,resolved_min
5.6234132519e+02,3.107266159520e-01,2.026174e-08,resolved_min,4.662575939805e-01,2.160844e-05,resolved_min,4.662589943040e-01,2.161937e-05,resolved_min,3.107266159898e-01,1.221585e-07,resolved_min,3.107266157704e-01,2.026972e-08,resolved_min,4.662575939805e-01,2.160844e-05,resolved_min
6.3095734448e+02,3.107266157712e-01,1.837698e-08,resolved_min,4.662573419049e-01,2.373421e-05,resolved_min,4.662591045056e-01,2.374907e-05,resolved_min,3.107266159063e-01,1.107287e-07,resolved_min,3.107266158294e-01,1.837396e-08,resolved_min,4.662573419048e-01,2.373421e-05,resolved_min
7.0794578438e+02,3.107266158543e-01,1.670003e-08,resolved_min,4.662570502037e-01,2.589515e-05,resolved_min,4.662592686388e-01,2.591521e-05,resolved_min,3.107266157725e-01,1.006182e-07,resolved_min,3.107266158048e-01,1.670072e-08,resolved_min,4.662570501841e-01,2.589515e-05,resolved_min
7.9432823472e+02,3.107266153487e-01,1.529196e-08,resolved_min,4.662567034303e-01,2.807056e-05,resolved_min,4.662594954813e-01,2.809745e-05,resolved_min,3.107266158187e-01,9.160995e-08,resolved_min,3.107266153487e-01,1.529204e-08,resolved_min,4.662567034304e-01,2.807056e-05,resolved_min
8.9125093813e+02,3.107266155781e-01,1.388544e-08,resolved_min,4.662562834691e-01,3.025247e-05,resolved_min,4.662597971384e-01,3.028830e-05,resolved_min,3.107266158424e-01,8.350915e-08,resolved_min,3.107266155781e-01,1.388551e-08,resolved_min,4.662562834462e-01,3.025247e-05,resolved_min
1.0000000000e+03,3.107266157916e-01,1.264601e-08,resolved_min,4.662557682834e-01,3.244419e-05,resolved_min,4.662601897690e-01,3.249170e-05,resolved_min,3.107266158152e-01,7.614710e-08,seed_verified,3.107266157090e-01,1.264728e-08,seed_verified,4.662557682591e-01,3.244419e-05,seed_verified
