# V3 model-limit raw data: V*(Omega) per configuration (production route, continuation, bc free/isothermal)
Omega,V_A,r_A,status_A,V_B,r_B,status_B,V_C,r_C,status_C,V_C_Dw0,r_C_Dw0,status_C_Dw0,V_C_Dw14,r_C_Dw14,status_C_Dw14,V_C_rhow0,r_C_rhow0,status_C_rhow0
8.9125093813e-03,3.107268872676e-01,3.013329e-10,resolved_min,4.663008997578e-01,1.733863e-09,resolved_min,4.663008996152e-01,1.733871e-09,resolved_min,3.104095852480e-01,1.211210e-04,resolved_min,3.107268874602e-01,4.271244e-10,resolved_min,4.663008996764e-01,1.733852e-09,resolved_min
1.0000000000e-02,3.107268869936e-01,3.531045e-10,resolved_min,4.663008705826e-01,1.944220e-09,resolved_min,4.663008705877e-01,1.944219e-09,resolved_min,3.104688499090e-01,1.204607e-04,resolved_min,3.107268871753e-01,4.772803e-10,resolved_min,4.663008703151e-01,1.944223e-09,resolved_min
1.1220184543e-02,3.107268867034e-01,4.142294e-10,resolved_min,4.663008394071e-01,2.180071e-09,resolved_min,4.663008391402e-01,2.180081e-09,resolved_min,3.105177803866e-01,1.197853e-04,resolved_min,3.107268868732e-01,5.369514e-10,resolved_min,4.663008391510e-01,2.180081e-09,resolved_min
1.2589254118e-02,3.107268863958e-01,4.864344e-10,resolved_min,4.663008063351e-01,2.444415e-09,resolved_min,4.663008063371e-01,2.444416e-09,resolved_min,3.105579669384e-01,1.191078e-04,resolved_min,3.107268866643e-01,6.078473e-10,resolved_min,4.663008064287e-01,2.444424e-09,resolved_min
1.4125375446e-02,3.107268860700e-01,5.717665e-10,resolved_min,4.663007708910e-01,2.740708e-09,resolved_min,4.663007713977e-01,2.740709e-09,resolved_min,3.105908105603e-01,1.184394e-04,resolved_min,3.107268863223e-01,6.920043e-10,resolved_min,4.663007716806e-01,2.740720e-09,resolved_min
1.5848931925e-02,3.107268857246e-01,6.726518e-10,resolved_min,4.663007344964e-01,3.072769e-09,resolved_min,4.663007344329e-01,3.072775e-09,resolved_min,3.106175334616e-01,1.177891e-04,resolved_min,3.107268859596e-01,7.918358e-10,resolved_min,4.663007344888e-01,3.072768e-09,resolved_min
1.7782794100e-02,3.107268853585e-01,7.919649e-10,resolved_min,4.663006952581e-01,3.444914e-09,resolved_min,4.663006952517e-01,3.444906e-09,resolved_min,3.106391902454e-01,1.171639e-04,resolved_min,3.107268855749e-01,9.102053e-10,resolved_min,4.663006953206e-01,3.444911e-09,resolved_min
1.9952623150e-02,3.107268849754e-01,9.330968e-10,resolved_min,4.663006537888e-01,3.861935e-09,resolved_min,4.663006532386e-01,3.861935e-09,resolved_min,3.106566807887e-01,1.165690e-04,resolved_min,3.107268851670e-01,1.050508e-09,resolved_min,4.663006537993e-01,3.861935e-09,resolved_min
2.2387211386e-02,3.107268845752e-01,1.100082e-09,resolved_min,4.663006096634e-01,4.329216e-09,resolved_min,4.663006096637e-01,4.329214e-09,resolved_min,3.106707648861e-01,1.160080e-04,resolved_min,3.107268847348e-01,1.216771e-09,resolved_min,4.663006085278e-01,4.329213e-09,resolved_min
2.5118864315e-02,3.107268841504e-01,1.297721e-09,resolved_min,4.663005631345e-01,4.852770e-09,resolved_min,4.663005629428e-01,4.852762e-09,resolved_min,3.106820773367e-01,1.154828e-04,resolved_min,3.107268842768e-01,1.413762e-09,resolved_min,4.663005631407e-01,4.852762e-09,resolved_min
2.8183829313e-02,3.107268836994e-01,1.531676e-09,resolved_min,4.663005138111e-01,5.439319e-09,resolved_min,4.663005138537e-01,5.439323e-09,resolved_min,3.106911448123e-01,1.149943e-04,resolved_min,3.107268837916e-01,1.647135e-09,resolved_min,4.663005137919e-01,5.439324e-09,resolved_min
3.1622776602e-02,3.107268832203e-01,1.808650e-09,resolved_min,4.663004615195e-01,6.096387e-09,resolved_min,4.663004614965e-01,6.096389e-09,resolved_min,3.106984001541e-01,1.145425e-04,resolved_min,3.107268832777e-01,1.923583e-09,resolved_min,4.663004614994e-01,6.096387e-09,resolved_min
3.5481338923e-02,3.107268827114e-01,2.136579e-09,resolved_min,4.663004061549e-01,6.832392e-09,resolved_min,4.663004061658e-01,6.832391e-09,resolved_min,3.107041972754e-01,1.141265e-04,resolved_min,3.107268827335e-01,2.251032e-09,resolved_min,4.663004061275e-01,6.832389e-09,resolved_min
3.9810717055e-02,3.107268821725e-01,2.524851e-09,resolved_min,4.663003474619e-01,7.656709e-09,resolved_min,4.663003474734e-01,7.656710e-09,resolved_min,3.107088238433e-01,1.137450e-04,resolved_min,3.107268821574e-01,2.638865e-09,resolved_min,4.663003474804e-01,7.656710e-09,resolved_min
4.4668359215e-02,3.107268815957e-01,2.984579e-09,resolved_min,4.663002854196e-01,8.579864e-09,resolved_min,4.663002854436e-01,8.579861e-09,resolved_min,3.107125127091e-01,1.133964e-04,resolved_min,3.107268815475e-01,3.098184e-09,resolved_min,4.663002854253e-01,8.579863e-09,resolved_min
