family_id,case_id,case_name,Omega,omega_rad_s,branch_id,kr_a,kr_a_over_pi,ki_signed,alpha_a,is_pass_band,eigval_real,eigval_imag,cond_P_equil,cond_Tcell,solver_status
S4,S4_eta02_cons,"Asymmetric Filling (eta=0.2, beta->0)",0.05,27197.301672877948,0,1.414206310925039e-09,4.5015584987094767e-10,2.8476780713732848,2.8476780713732848,False,0.05797878730968986,-8.199396691314397e-11,1894455434658.2542,1.9700835936514868e+16,CONVERGED
S4,S4_eta02_cons,"Asymmetric Filling (eta=0.2, beta->0)",0.05,27197.301672877948,1,0.12989272813168004,0.04134613950769714,4.390299367602335e-08,4.390299367602335e-08,True,0.9915757505732162,-0.12952776949048175,1894455434658.2542,1.9700835936514868e+16,CONVERGED
S4,S4_eta02_cons,"Asymmetric Filling (eta=0.2, beta->0)",0.05,27197.301672877948,2,0.1298927464312378,0.04134614533262729,4.406087555777005e-09,4.406087555777005e-09,True,0.9915757873670902,0.1295277927518264,1894455434658.2542,1.9700835936514868e+16,CONVERGED
S4,S4_eta02_cons,"Asymmetric Filling (eta=0.2, beta->0)",0.05,27197.301672877948,3,0.3074545760130679,0.09786583109740526,2.120235786741396e-08,2.120235786741396e-08,True,0.9531069672395017,-0.30263355166736644,1894455434658.2542,1.9700835936514868e+16,CONVERGED
S4,S4_eta02_cons,"Asymmetric Filling (eta=0.2, beta->0)",0.05,27197.301672877948,4,0.3074547238769993,0.09786587816395644,-2.7799453492806e-08,2.7799453492806e-08,True,0.9531069691948714,0.30263370742710577,1894455434658.2542,1.9700835936514868e+16,CONVERGED
S4,S4_eta02_cons,"Asymmetric Filling (eta=0.2, beta->0)",0.06767676767676768,36812.509335006514,0,2.774949276177608e-09,8.832937882658867e-10,2.856952657905471,2.856952657905471,False,0.057443543946903035,-1.5940292069653518e-10,2261454476074.756,1.0449687823930746e+16,CONVERGED
S4,S4_eta02_cons,"Asymmetric Filling (eta=0.2, beta->0)",0.06767676767676768,36812.509335006514,1,0.17572594082722032,0.05593530422425204,1.7879985084120186e-06,1.7879985084120186e-06,True,0.9845981267784987,0.1748226322695334,2261454476074.756,1.0449687823930746e+16,CONVERGED
S4,S4_eta02_cons,"Asymmetric Filling (eta=0.2, beta->0)",0.06767676767676768,36812.509335006514,2,0.17572544537927048,0.055935146518271514,-7.469729922931276e-07,7.469729922931276e-07,True,0.9846007093254667,-0.1748225876221042,2261454476074.756,1.0449687823930746e+16,CONVERGED
S4,S4_eta02_cons,"Asymmetric Filling (eta=0.2, beta->0)",0.06767676767676768,36812.509335006514,3,0.41487253313500916,0.1320580288029857,7.779039255189977e-09,7.779039255189977e-09,True,0.915167699297475,-0.4030732769664692,2261454476074.756,1.0449687823930746e+16,CONVERGED
S4,S4_eta02_cons,"Asymmetric Filling (eta=0.2, beta->0)",0.06767676767676768,36812.509335006514,4,0.41487254255247225,0.1320580318006573,2.2259286702658977e-09,2.2259286702658977e-09,True,0.9151677005835747,0.4030732878233378,2261454476074.756,1.0449687823930746e+16,CONVERGED
