case_id,case_name,Omega,omega_rad_s,branch_id,kr_a,ki_signed,alpha_a,is_forward_decaying,eigval_real,eigval_imag,cond_P_equil,cond_Tcell
C1,Conservative Baseline (beta -> 0),0.05,27180.459964435016,0,7.422708793619481e-17,-3.2210002124084953,3.2210002124084953,False,25.053166141256398,-1.8596235662471372e-15,22.73739694507292,1.9539183403842364e+16
C1,Conservative Baseline (beta -> 0),0.05,27180.459964435016,1,0.11380029151700531,6.569134480764183e-16,6.569134480764183e-16,True,0.9935317319599622,0.11355482195237863,22.73739694507292,1.9539183403842364e+16
C1,Conservative Baseline (beta -> 0),0.05,27180.459964435016,2,0.11380029151700524,1.4463774981984834e-15,1.4463774981984834e-15,True,0.9935317319599615,-0.11355482195237848,22.73739694507292,1.9539183403842364e+16
C1,Conservative Baseline (beta -> 0),0.05,27180.459964435016,3,6.853303368177449e-17,3.2210002124084944,3.2210002124084944,True,0.03991511469495456,2.7355038998012126e-18,22.73739694507292,1.9539183403842364e+16
C1,Conservative Baseline (beta -> 0),0.05,27180.459964435016,4,2.257563180262857e-17,-1.592860018476895,1.592860018476895,False,4.9177938156126775,1.1102230246251565e-16,22.73739694507292,1.9539183403842364e+16
C1,Conservative Baseline (beta -> 0),0.05,27180.459964435016,5,0.1642563854178537,-34.5416471528904,34.5416471528904,False,989376410310736.0,163988867832585.28,22.73739694507292,1.9539183403842364e+16
C1,Conservative Baseline (beta -> 0),0.05,27180.459964435016,6,0.10240185335809206,-77.90116854816439,77.90116854816439,False,6.757197415665427e+33,6.943783534151835e+32,22.73739694507292,1.9539183403842364e+16
C1,Conservative Baseline (beta -> 0),0.05,27180.459964435016,7,0.09617885338930546,-40.58246392193113,40.58246392193113,False,4.1949650422560275e+17,4.0471562136360664e+16,22.73739694507292,1.9539183403842364e+16
C1,Conservative Baseline (beta -> 0),0.05,27180.459964435016,8,2.786461254692801,-40.25913447096473,40.25913447096473,False,-2.85981486837045e+17,-1.0605754851662227e+17,22.73739694507292,1.9539183403842364e+16
C1,Conservative Baseline (beta -> 0),0.05,27180.459964435016,9,3.1374460593609728,-36.0320172754495,36.0320172754495,False,-4451460672777029.5,18458506929034.582,22.73739694507292,1.9539183403842364e+16
C1,Conservative Baseline (beta -> 0),0.08571428571428572,46595.07422474574,0,6.078505056288646e-17,-3.2234260484892463,3.2234260484892463,False,25.11401479020337,-1.5265566588595902e-15,13.306779499063337,1.2386425294417722e+16
C1,Conservative Baseline (beta -> 0),0.08571428571428572,46595.07422474574,1,0.19494922121926564,-3.456671385362894e-15,3.456671385362894e-15,False,0.9810575075131608,0.19371671830812998,13.306779499063337,1.2386425294417722e+16
C1,Conservative Baseline (beta -> 0),0.08571428571428572,46595.07422474574,2,0.19494922121926533,-1.927809862560413e-15,1.927809862560413e-15,False,0.9810575075131593,-0.1937167183081294,13.306779499063337,1.2386425294417722e+16
C1,Conservative Baseline (beta -> 0),0.08571428571428572,46595.07422474574,3,6.097708155255138e-17,3.2234260484892348,3.2234260484892348,True,0.03981840451850405,2.4280100996173018e-18,13.306779499063337,1.2386425294417722e+16
C1,Conservative Baseline (beta -> 0),0.08571428571428572,46595.07422474574,4,1.0424195034317243e-16,-1.9723731176831156,1.9723731176831156,False,7.187713555007472,-7.492612794820363e-16,13.306779499063337,1.2386425294417722e+16
C1,Conservative Baseline (beta -> 0),0.08571428571428572,46595.07422474574,9,3.1336580201965596,-42.41297733548339,42.41297733548339,False,-2.628502209989425e+18,2.0856639111665664e+16,13.306779499063337,1.2386425294417722e+16
C1,Conservative Baseline (beta -> 0),0.08571428571428572,46595.07422474574,6,3.1368284557614547,-83.04780077034822,83.04780077034822,False,-1.1673381527181876e+36,5.561471969500271e+33,13.306779499063337,1.2386425294417722e+16
C1,Conservative Baseline (beta -> 0),0.08571428571428572,46595.07422474574,7,2.0775853786273277,-44.75535336291048,44.75535336291048,False,-1.3276331145295806e+19,2.391482536381924e+19,13.306779499063337,1.2386425294417722e+16
C1,Conservative Baseline (beta -> 0),0.08571428571428572,46595.07422474574,5,1.7205819443873873,-44.202519712374446,44.202519712374446,False,-2.3483095438370575e+18,-1.556038051810951e+19,13.306779499063337,1.2386425294417722e+16
