chi,eta,gap_index,Omega_L,Omega_U,delta_Omega,Omega_mid,gap_to_midgap_ratio,is_boundary_truncated
0.4,0.8,1,0.9162,0.9692,0.053,0.9427,0.0563,False
0.5,0.8,1,0.9162,0.9692,0.053,0.9427,0.0563,False
0.6,0.8,1,0.8985,0.9692,0.0707,0.9338,0.0757,False
0.7,0.8,1,0.9162,0.9692,0.053,0.9427,0.0563,False
0.8,0.8,1,0.8278,0.8808,0.053,0.8543,0.0621,False
0.8,0.8,2,0.8985,0.9692,0.0707,0.9338,0.0757,False
0.9,0.8,1,0.7747,0.8808,0.1061,0.8278,0.1281,False
0.9,0.8,2,0.8985,0.9515,0.053,0.925,0.0573,False
0.9,0.8,3,1.7646,1.8,0.0354,1.7823,0.0198,True
1.0,0.8,1,0.6687,0.9338,0.2652,0.8013,0.3309,False
1.0,0.8,2,1.6232,1.8,0.1768,1.7116,0.1033,True
