family_id,case_id,case_name,Omega,omega_rad_s,branch_id,kr_a,kr_a_over_pi,ki_signed,alpha_a,is_pass_band,eigval_real,eigval_imag,cond_P_equil,cond_Tcell,solver_status
S5,S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),0.05,27197.301672877948,0,4.344946533478034e-09,1.3830394365460488e-09,3.1351272031615873,3.1351272031615873,False,0.04349422087499949,1.8898006421715697e-10,4069176605477484.0,9.753554154190731e+16,CONVERGED
S5,S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),0.05,27197.301672877948,1,3.784105976631273e-05,1.2045183427289026e-05,3.1719796163951943,3.1719796163951943,False,0.041920529111634214,1.5863172483059763e-06,4069176605477484.0,9.753554154190731e+16,CONVERGED
S5,S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),0.05,27197.301672877948,2,0.2164547537330524,0.06889968802470835,0.352957893484453,0.352957893484453,False,0.6862114427050299,0.15089777697512524,4069176605477484.0,9.753554154190731e+16,CONVERGED
S5,S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),0.05,27197.301672877948,3,0.27298732039456813,0.08689456288441298,-7.295630911306442e-07,7.295630911306442e-07,True,0.9629704874551973,-0.26960953139224597,4069176605477484.0,9.753554154190731e+16,CONVERGED
S5,S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),0.05,27197.301672877948,4,0.27299099364793117,0.08689573211727289,2.6447406367892186e-06,2.6447406367892186e-06,True,0.962966247758501,0.26961215887016093,4069176605477484.0,9.753554154190731e+16,CONVERGED
S5,S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),0.06767676767676768,36812.509335006514,0,4.9205186478397925e-08,1.566249730759104e-08,3.141327791955883,3.141327791955883,False,0.04322536548866961,2.126912169466896e-09,1.0072835424751798e+16,6.485796644761841e+16,CONVERGED
S5,S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),0.06767676767676768,36812.509335006514,1,0.049702169801103924,0.01582069201247683,3.467447616383722,3.467447616383722,False,0.03115803012348426,0.001549898154835058,1.0072835424751798e+16,6.485796644761841e+16,CONVERGED
S5,S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),0.06767676767676768,36812.509335006514,2,1.0583368011035503,0.33687906670338824,0.198610832302552,0.198610832302552,False,0.402000008315703,-0.7145495103958537,1.0072835424751798e+16,6.485796644761841e+16,CONVERGED
S5,S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),0.06767676767676768,36812.509335006514,3,0.3688157406586505,0.11739769643184551,4.214495894029305e-07,4.214495894029305e-07,True,0.9327545450695345,-0.36051090934020597,1.0072835424751798e+16,6.485796644761841e+16,CONVERGED
S5,S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),0.06767676767676768,36812.509335006514,4,0.3688195157374775,0.11739889807675727,2.4178295520145842e-06,2.4178295520145842e-06,True,0.9327513219778792,0.36051371083650396,1.0072835424751798e+16,6.485796644761841e+16,CONVERGED
S5,S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),0.08535353535353535,46427.71699713508,0,0.35080829212915227,0.11166574753996045,-0.4237548274919507,0.4237548274919507,False,1.4346435976063618,-0.5250003056280138,2.016126177161642e+16,8.753111686375864e+16,CONVERGED
