family_id,case_id,case_name,Omega,omega_rad_s,branch_id,kr_a,kr_a_over_pi,ki_signed,alpha_a,is_pass_band,eigval_real,eigval_imag,cond_P_equil,cond_Tcell,solver_status
S6,S6_alpha00,Uncoupled Mechanical Conservative Limit (beta->0),0.05,27197.301672877948,0,2.371320282622289e-10,7.548146892668152e-11,3.13512719530996,3.13512719530996,False,0.04349422121649991,1.0313872894754692e-11,1894455434658.2542,4.528374882415026e+16,CONVERGED
S6,S6_alpha00,Uncoupled Mechanical Conservative Limit (beta->0),0.05,27197.301672877948,1,0.11387084855860707,0.036246216844341886,-8.538035895584521e-09,8.538035895584521e-09,True,0.9935237258773666,-0.11362492329954402,1894455434658.2542,4.528374882415026e+16,CONVERGED
S6,S6_alpha00,Uncoupled Mechanical Conservative Limit (beta->0),0.05,27197.301672877948,2,0.11387087419093594,0.03624622500336557,7.395506496357565e-09,7.395506496357565e-09,True,0.9935237071345426,0.11362494695542294,1894455434658.2542,4.528374882415026e+16,CONVERGED
S6,S6_alpha00,Uncoupled Mechanical Conservative Limit (beta->0),0.05,27197.301672877948,3,0.2729932913651851,0.08689646350339048,-2.6505255981507643e-07,2.6505255981507643e-07,True,0.9629684302983601,-0.2696151560168169,1894455434658.2542,4.528374882415026e+16,CONVERGED
S6,S6_alpha00,Uncoupled Mechanical Conservative Limit (beta->0),0.05,27197.301672877948,4,0.2729935267889355,0.08689653844109768,1.724929081558101e-07,1.724929081558101e-07,True,0.9629679454821697,0.26961526475348585,1894455434658.2542,4.528374882415026e+16,CONVERGED
S6,S6_alpha00,Uncoupled Mechanical Conservative Limit (beta->0),0.06767676767676768,36812.509335006514,0,6.249394258960284e-09,1.989243975287283e-09,3.141327745547899,3.141327745547899,False,0.043225367494671804,2.701323634626504e-10,2261454476074.756,9544107540209594.0,CONVERGED
S6,S6_alpha00,Uncoupled Mechanical Conservative Limit (beta->0),0.06767676767676768,36812.509335006514,1,0.15408162110978738,0.04904570327847038,-2.081966152043446e-09,2.081966152043446e-09,True,0.9881528955816611,0.15347266570145682,2261454476074.756,9544107540209594.0,CONVERGED
S6,S6_alpha00,Uncoupled Mechanical Conservative Limit (beta->0),0.06767676767676768,36812.509335006514,2,0.15408164675824887,0.04904571144262924,2.8863070215674275e-09,2.8863070215674275e-09,True,0.9881528867359095,-0.15347269028356403,2261454476074.756,9544107540209594.0,CONVERGED
S6,S6_alpha00,Uncoupled Mechanical Conservative Limit (beta->0),0.06767676767676768,36812.509335006514,3,0.368819107924723,0.1173987682659258,-4.301035743839149e-07,4.301035743839149e-07,True,0.932754125417481,-0.3605143571679064,2261454476074.756,9544107540209594.0,CONVERGED
S6,S6_alpha00,Uncoupled Mechanical Conservative Limit (beta->0),0.06767676767676768,36812.509335006514,4,0.36881969677485693,0.1173989557027449,2.5286354867345044e-07,2.5286354867345044e-07,True,0.9327532760883528,0.3605146602004912,2261454476074.756,9544107540209594.0,CONVERGED
S6,S6_alpha00,Uncoupled Mechanical Conservative Limit (beta->0),0.08535353535353535,46427.71699713508,0,2.0900323315873186e-08,6.6527795358800204e-09,3.1492662994943648,3.1492662994943648,False,0.04288357903101343,8.962806666899807e-10,3597092965648.007,5.5189952648720744e+16,CONVERGED
S6,S6_alpha00,Uncoupled Mechanical Conservative Limit (beta->0),0.08535353535353535,46427.71699713508,1,0.19425065999697808,0.06183190547476431,-1.918111809174594e-08,1.918111809174594e-08,True,0.9811926099380129,0.19303134606914835,3597092965648.007,5.5189952648720744e+16,CONVERGED
S6,S6_alpha00,Uncoupled Mechanical Conservative Limit (beta->0),0.08535353535353535,46427.71699713508,2,0.19425066064981505,0.06183190568256878,2.5666302279524046e-08,2.5666302279524046e-08,True,0.9811925658080385,-0.1930313380527494,3597092965648.007,5.5189952648720744e+16,CONVERGED
S6,S6_alpha00,Uncoupled Mechanical Conservative Limit (beta->0),0.08535353535353535,46427.71699713508,3,0.4640502455807429,0.1477117808543664,-7.13887508392631e-07,7.13887508392631e-07,True,0.8942476923436422,0.4475740078625061,3597092965648.007,5.5189952648720744e+16,CONVERGED
S6,S6_alpha00,Uncoupled Mechanical Conservative Limit (beta->0),0.08535353535353535,46427.71699713508,4,0.46404924319378266,0.14771146178468716,1.0403798920299987e-06,1.0403798920299987e-06,True,0.8942465722365566,-0.4475723263178251,3597092965648.007,5.5189952648720744e+16,CONVERGED
S6,S6_alpha00,Uncoupled Mechanical Conservative Limit (beta->0),0.10303030303030303,56042.924659263655,0,1.430427441441769e-07,4.553191960795004e-08,3.158852948298281,3.158852948298281,False,0.04247443352004804,6.075659526677124e-09,5241294802646.863,1.7779881230964468e+16,CONVERGED
S6,S6_alpha00,Uncoupled Mechanical Conservative Limit (beta->0),0.10303030303030303,56042.924659263655,1,0.2343674389705675,0.07460147282390785,-9.734336445642993e-09,9.734336445642993e-09,True,0.9726614436218904,0.23222776655700136,5241294802646.863,1.7779881230964468e+16,CONVERGED
S6,S6_alpha00,Uncoupled Mechanical Conservative Limit (beta->0),0.10303030303030303,56042.924659263655,2,0.23436746300088884,0.0746014804729967,1.790252633004616e-08,1.790252633004616e-08,True,0.972661411160072,-0.23222778351232087,5241294802646.863,1.7779881230964468e+16,CONVERGED
S6,S6_alpha00,Uncoupled Mechanical Conservative Limit (beta->0),0.10303030303030303,56042.924659263655,3,0.5585855697106166,0.17780330911849423,-1.0965109209831322e-05,1.0965109209831322e-05,True,0.8480148876207418,0.5299930950799918,5241294802646.863,1.7779881230964468e+16,CONVERGED
S6,S6_alpha00,Uncoupled Mechanical Conservative Limit (beta->0),0.10303030303030303,56042.924659263655,4,0.5585824471477481,0.17780231517586295,1.7860362470580218e-05,1.7860362470580218e-05,True,0.8479920984288434,-0.5299751700931687,5241294802646.863,1.7779881230964468e+16,CONVERGED
S6,S6_alpha00,Uncoupled Mechanical Conservative Limit (beta->0),0.12070707070707071,65658.13232139223,0,4.310862082935552e-09,1.3721900189732344e-09,3.169983779149782,3.169983779149782,False,0.0420042792430417,-1.8107465470986535e-10,7194059987072.216,2.3644268854910504e+16,CONVERGED
