solver,t_hat,abs_error
40,0.05,5.820480232060438e-07
40,0.0546218487394958,9.081887012422499e-07
40,0.059243697478991594,1.272750686406477e-06
40,0.06386554621848739,1.6353228016577633e-06
40,0.0684873949579832,1.960412050785621e-06
40,0.07310924369747898,2.2251558896925768e-06
40,0.07773109243697479,2.42011654456964e-06
40,0.08235294117647059,2.5460929881936386e-06
40,0.08697478991596638,2.6100640415231975e-06
40,0.09159663865546218,2.6218529352316507e-06
40,0.09621848739495797,2.591903853711331e-06
40,0.10084033613445378,2.530017223307702e-06
40,0.10546218487394957,2.444753947451362e-06
40,0.11008403361344538,2.343249765391798e-06
40,0.11470588235294117,2.231254304930653e-06
40,0.11932773109243697,2.1133125847071506e-06
40,0.12394957983193276,1.992837322052244e-06
40,0.12857142857142856,1.870325790743644e-06
40,0.13319327731092434,1.7596671614837918e-06
40,0.13781512605042015,1.730440236214937e-06
40,0.14243697478991596,9.76205824844035e-07
40,0.14705882352941174,7.738623653562601e-07
40,0.15168067226890755,2.63872055120139e-05
40,0.15630252100840336,5.439777340649033e-05
40,0.1584,0.00020183551475050454
40,0.16,97112574575.44894
40,0.16092436974789914,0.0014591767271393563
40,0.1616,0.0010306422507186952
40,0.16236,0.0008368346820915039
40,0.164,0.0006400234816318361
40,0.16554621848739492,0.0005134409676258454
40,0.16564,0.0005060494427431293
40,0.17016806722689073,0.00012121198813952561
40,0.17478991596638654,0.00028324102015775496
40,0.17941176470588233,0.0005363770736254168
40,0.1840336134453781,0.0005159428674692555
40,0.18865546218487395,0.0002378850582491775
40,0.19327731092436973,0.00011581362453294653
40,0.1978991596638655,0.0005605979705251017
40,0.20252100840336135,0.00025131442569759175
40,0.20714285714285713,3.236168709675014e-05
40,0.2117647058823529,4.662797064459602e-06
40,0.2163865546218487,1.3911213181494544e-07
40,0.22100840336134453,4.0423237157683e-07
40,0.2256302521008403,3.881482069100225e-07
40,0.2302521008403361,3.332538148780325e-07
40,0.23487394957983188,2.918148417362384e-07
40,0.2394957983193277,2.600512102334259e-07
40,0.2441176470588235,2.332447159868475e-07
40,0.24873949579831928,2.0927830912775916e-07
40,0.2533613445378151,1.8733837081719243e-07
40,0.2579831932773109,1.6708810357635242e-07
