anchor,n,rmse,nrmse_pct,sigma_d,rmse_over_sigma_d,within_2sigma_pct,master_target
fig3,729,0.003842944664757361,0.38390241640748424,0.00593382511692216,0.647633624017331,99.86282578875172,0.384
fig5,743,0.0028804077890293733,0.3817215373831442,0.006027123741366962,0.47790752482146515,99.46164199192464,0.382
fig2,1999,0.008193461046016424,0.4826621179132302,,,,0.483
