criterion_pct,B_lo,B_hi
10,0.44148437106171845,3.4644170823980507
20,0.6279354286502288,1.8044487761925194
30,0.72252729056825,1.4680175511779372
50,0.8167166050159778,1.2515715831250502
100,0.9011515408884849,1.115885560523925
