figure,t_hat,T_published,T_phase5
fig3,0.015488867376573089,0.004339250493096647,2.785260231889802e-10
fig3,0.016779606324620847,0.004339250493096647,1.4369856559700663e-09
fig3,0.0180703452726686,0.004339250493096647,6.010661641898698e-09
fig3,0.01936108422071636,0.004339250493096647,2.121286794037345e-08
fig3,0.020651823168764117,0.004339250493096647,6.509971691538202e-08
fig3,0.040012907389480476,0.0023668639053254434,0.0004510404883006602
fig3,0.041303646337528234,0.0023668639053254434,0.0006220444441375095
fig3,0.04259438528557599,0.00527226596123431,0.000842571059756043
fig3,0.04388512423362375,0.005486261034192174,0.0011224234067897672
fig3,0.04517586318167151,0.005519061806044067,0.0014722967874247579
fig3,0.046466602129719266,0.005917159763313609,0.0019036718712885162
fig3,0.047757341077767024,0.006309383729535914,0.0024286779421671054
fig3,0.04904808002581478,0.007023248052091174,0.0030599297274546797
fig3,0.05033881897386254,0.007483492949719719,0.0038103425354774714
fig3,0.05162955792191029,0.00820739964857101,0.0046929314945029455
fig3,0.05292029686995805,0.008683793534057772,0.005720601520638866
fig3,0.05421103581800581,0.010176741637526309,0.006905935191168011
fig3,0.055501774766053565,0.011801625299387481,0.00826098590984355
fig3,0.05679251371410132,0.013412802165038318,0.009797083557690697
fig3,0.05808325266214908,0.01541356676711267,0.011524659177852958
fig3,0.05937399161019684,0.017766063564037867,0.013453094151409587
fig3,0.060664730558244596,0.019639514342689787,0.015590597868320887
fig3,0.061955469506292354,0.0189245489381122,0.01794411623855669
fig3,0.0632462084543401,0.020502310459954955,0.020519271707536695
fig3,0.06453694740238787,0.024047975643890062,0.023320333906266588
fig3,0.06582768635043562,0.027207392721474738,0.02635021880196252
fig3,0.06711842529848339,0.03038464035153424,0.029610513283130184
fig3,0.06840916424653114,0.033935981706456016,0.03310152152418185
fig3,0.0696999031945789,0.03783329014238618,0.03682232919946609
fig3,0.07099064214262665,0.04179742137897088,0.04077088160226847
fig3,0.0722813810906744,0.04575495040755585,0.04494407190881164
fig3,0.07357212003872217,0.05588142446213949,0.04933783614905045
fig3,0.07486285898676992,0.06282451364206398,0.053947251850744296
fig3,0.07615359793481769,0.06748150282406924,0.058766637766407594
fig3,0.07744433688286544,0.07296486976611713,0.06378965254042637
fig3,0.0787350758309132,0.07769527393149242,0.06900939060198866
fig3,0.08002581477896095,0.08356033512725403,0.07441847396298083
fig3,0.08131655372700872,0.08912394099482951,0.08000913894993815
fig3,0.08260729267505647,0.09503074049459034,0.08577331720178943
fig3,0.08389803162310423,0.0994192577002624,0.09170271052045233
fig3,0.08518877057115198,0.10180530298135004,0.0977888593716925
fig3,0.08647950951919975,0.10452392113171063,0.10402320500285199
fig3,0.0877702484672475,0.11053070708708218,0.11039714527658881
fig3,0.08906098741529525,0.11831445194413887,0.11690208442064236
fig3,0.09035172636334302,0.1246906827600644,0.12352947696746847
fig3,0.09164246531139077,0.13171964074035822,0.13027086620888437
fig3,0.09293320425943853,0.1457980017970735,0.13711791752383318
fig3,0.09422394320748628,0.15554258539750143,0.14406244695541304
fig3,0.09551468215553405,0.16217239133553588,0.15109644541959885
fig3,0.0968054211035818,0.1695993004645277,0.15821209892557697
fig3,0.09809616005162956,0.17561439982492616,0.16540180517790012
fig3,0.10067763794772508,0.19029110449334685,0.17997410233175848
fig3,0.10196837689577283,0.1939206219661288,0.1873426528742706
fig3,0.10325911584382058,0.19714659872634915,0.19475718875246012
fig3,0.10454985479186835,0.2029204463561477,0.20221131239528037
fig3,0.1058405937399161,0.21105315436867428,0.20969888013038168
fig3,0.10713133268796386,0.2185716981173471,0.21721400230899318
fig3,0.10842207163601161,0.226063125502228,0.2247510420872228
