B,cond_F,corr_tq_k2,se_tau_q_pct,se_kappa2_pct,se_alpha_pct,se_B_pct
0.1,359.51318342917733,0.7668252925769659,2.0500928969449954,10.777396449334525,0.7464888737786086,9.020877349348073
0.3,475.7109575794939,0.925722077523888,5.829837536122942,15.045056710421628,0.8640806257998815,9.559039381659888
0.5,929.2491873976456,0.9736227605022514,12.36794252231301,21.55820165103127,0.9383169849396156,9.555232518367738
0.7,2673.47240765194,0.9924725896985828,27.058401328016807,35.99517092729434,0.9941273952474929,9.336356308935612
0.9,25235.308097595862,0.9992892653239086,98.7521850111167,107.33597961431185,1.038988199178372,9.03042995558552
0.98,643680.8618779578,0.9999730363700406,526.5637094267623,534.9932023614567,1.0547917194331322,8.897425049211847
1.0,7.49868219902787e+16,0.9999999999999997,171231743.76855722,171231743.76857424,0.9399114092132774,3.941049748500789
1.02,650193.262099823,0.9999736900570614,542.4881995818508,534.1373215453796,1.0623266673095313,8.829851984995484
1.1,26534.11844542681,0.9993717446977146,114.68493511016631,106.49295196859019,1.0767530923703783,8.693673139342046
1.28,3536.6851768550036,0.9955040941251296,45.63707060914187,37.8034715503573,1.106609541911802,8.38848354461372
1.5,1167.0838272863423,0.9869895858923117,28.491682701006066,21.082315489280816,1.1394174209670243,8.030748203325956
2.0,324.186625418098,0.9571894645449407,17.18850266703374,10.628123725390074,1.2046010406499992,7.326884940129906
2.41,176.68432305691374,0.9269360014846897,13.729919894779814,7.7252898353730295,1.2521706836424153,6.876188510212791
3.0,98.32938135090691,0.8816458692990813,11.165740741162308,5.7603751425737775,1.3148389672441685,6.4027146928544525
5.0,35.915548427220386,0.7573998848853717,8.121588330492424,3.7145338924634217,1.4934751616147206,5.679961991407406
