B,model,delta_bic
1.0,Fourier,0.0
1.28,Fourier,23.139956876650558
2.41,Fourier,166.72657602683296
5.0,Fourier,266.9972245508155
1.0,MCV,240.31198957537623
1.28,MCV,253.62788663966836
2.41,MCV,302.1155559589438
5.0,MCV,349.2640330412368
1.0,Nyiri,4.033769649618648
1.28,Nyiri,1.3753972168480004
2.41,Nyiri,44.21068335515986
5.0,Nyiri,105.2888650101944
1.0,GK,6.5867530834478885
1.28,GK,0.0
2.41,GK,0.0
5.0,GK,0.0
