M,parity,t_star,split_err,conv_err
20,even,0.08,194225149150.89807,9.960867541444762e-06
40,even,0.16,97112574575.44894,4.614663849045186e-06
41,odd,0.164,0.00026393178281902685,4.316972463169755e-06
60,even,0.24,5330339507.602452,1.020398076034823e-06
64,even,0.256,84466643240.82207,7.021927339589951e-07
81,odd,0.324,0.0002590274573699425,1.0398174129511162e-06
