tau_q_or_tag,t_hat,T_or_spread_B1,T_or_spread_B105
0.003,0.005,1.5603162391260908e-27,1.7586321889774856e-26
0.003,0.007493734335839599,2.223119988748996e-19,1.0977952686079063e-18
0.003,0.009987468671679198,4.107313457344041e-15,1.3262602245597752e-14
0.003,0.012481203007518798,1.9146664475863842e-12,4.758202980285764e-12
0.003,0.014974937343358394,1.3515224860794647e-10,2.8094880649986436e-10
0.003,0.017468671679197995,3.1575136248776568e-09,5.7650912169444226e-09
0.003,0.019962406015037595,3.63370665908272e-08,6.012745142753817e-08
0.003,0.02245614035087719,2.578260824224531e-07,3.950137253786062e-07
0.003,0.02494987468671679,1.2932194030856464e-06,1.8628474068923562e-06
0.003,0.02744360902255639,5.008903013089971e-06,6.8612030002159285e-06
0.003,0.029937343358395988,1.5902819164463368e-05,2.089480793169984e-05
0.003,0.03243107769423559,4.3159013659556164e-05,5.4759680840705966e-05
0.003,0.034924812030075185,0.00010320850454956336,0.0001271274161144187
0.003,0.03741854636591478,0.0002224350930219462,0.00026712594419413184
0.003,0.03991228070175438,0.00043952595764152583,0.0005164113578669776
0.003,0.04240601503759398,0.0008069338548775094,0.0009302315615624273
0.003,0.04489974937343358,0.001391001044236824,0.0015770967960061725
0.003,0.047393483709273175,0.0022704785720710774,0.0025368721402713127
0.003,0.04988721804511278,0.0035334229506437205,0.0038973553111000536
0.003,0.052380952380952375,0.005272719700460719,0.005749654705686441
0.003,0.05487468671679197,0.007580721904679889,0.008182893394364416
0.003,0.057368421052631575,0.010543658482866099,0.011278895342071792
0.003,0.05986215538847117,0.014236521936032849,0.015107523230088632
0.003,0.06235588972431077,0.018719055379238306,0.019723205041504578
0.003,0.06484962406015038,0.024033228213221364,0.025162932548794106
0.003,0.06734335839598997,0.030202291399384587,0.031445729331054634
0.003,0.06983709273182957,0.03723124054986369,0.03857336573724576
0.003,0.07233082706766918,0.04510835518968019,0.046531986256956065
0.003,0.07482456140350877,0.05380743326908802,0.05529429915246454
0.003,0.07731829573934837,0.06329037091821389,0.06482202309108812
0.003,0.07981203007518797,0.07350980953532574,0.0750683563178309
0.003,0.08230576441102756,0.08441165488925997,0.08598030718633351
0.003,0.08479949874686717,0.09593734786502152,0.09750078837186861
0.003,0.08729323308270677,0.10802582600674769,0.1095704264203511
0.003,0.08978696741854636,0.120615157844876,0.12212907349043954
0.003,0.09228070175438596,0.13364386013756607,0.13511703130492447
